UserID,MovieID,Rating
1,914,4.569126
1,2018,4.0780463
1,2797,3.8682942
1,1270,3.8785214
1,1545,4.2002087
1,1566,3.7972913
1,588,4.132199
1,1907,4.0780463
1,2762,4.1027384
1,1962,4.2002087
1,1028,4.0769315
117,914,3.19459
117,1566,2.7942865
117,588,3.2326555
117,1962,3.2602806
117,1370,3.2476187
117,1801,3.116403
117,648,3.3735766
117,260,3.8820767
117,1049,3.5725899
117,1304,3.3719587
117,34,3.1521764
117,3418,3.4670177
117,1274,3.4511695
117,745,4.086366
117,1148,3.5906005
117,3114,3.6380734
117,3408,3.2602806
117,349,3.0746398
117,1573,3.5857124
117,924,3.5812416
117,2046,2.5439389
117,2989,3.0935287
117,592,3.6789923
117,1327,2.9793782
117,3623,3.2476187
117,223,3.3269444
117,736,2.8165376
117,3039,3.3269444
117,2003,3.201161
117,3917,2.9793782
117,2140,3.4860625
117,1544,3.0915594
117,3175,3.435104
117,3448,3.2125626
117,3489,2.840776
117,353,3.179822
117,1036,3.2476187
117,2478,3.3473754
117,1779,2.5228372
117,748,3.5857124
117,1356,3.1071024
117,2043,3.192236
117,3213,3.0284142
117,1222,3.7319145
117,2322,2.5466967
117,3704,3.14788
117,2005,3.192236
117,2986,3.1285615
117,1101,3.1226897
117,1282,3.1391907
117,3267,3.2476187
117,253,3.1766396
117,1064,3.6380734
117,3593,3.14788
117,899,3.19459
117,1967,3.192236
117,3825,3.2602806
117,1405,3.5906005
117,2476,2.7595768
117,3697,3.5857124
117,2644,2.9793782
117,172,3.5857124
117,2288,3.4819212
117,2121,3.0111828
117,720,4.0226836
117,2065,3.252139
117,1339,3.4271555
117,3013,3.201161
117,2144,3.3269444
117,2149,3.201161
117,1275,3.5725899
117,2162,3.192236
117,2092,3.1391907
117,2097,3.3685446
117,1379,3.3719587
117,2327,2.9793782
117,3138,3.2602806
117,2462,2.9793782
117,2615,3.20361
117,2633,3.4271555
117,1909,3.4508348
117,2645,2.9793782
117,327,2.5999439
117,2817,2.7595768
117,2818,2.7595768
117,3476,2.7316208
117,2901,2.8060203
117,3708,3.0111828
117,1100,3.1226897
117,1030,2.7619677
117,1979,2.9793782
117,293,3.723415
117,1988,2.9793782
117,3663,2.4150047
117,1992,2.9793782
117,2878,2.9793782
117,2026,3.0111828
117,2104,3.2602806
117,3921,3.3269444
117,3926,3.20361
117,3859,3.4685607
161,914,4.650944
161,2762,4.367556
161,3095,4.499797
161,260,4.0722427
161,515,4.499797
161,1719,4.499797
161,1734,4.378274
161,32,4.526212
161,36,4.499797
161,1947,4.650944
161,3418,4.109814
161,1196,4.3187494
161,1278,4.0235686
161,1307,4.3212805
161,778,4.499797
161,1639,4.3751836
161,3039,4.1266494
161,175,4.499797
161,3471,4.526212
161,1225,4.499797
161,337,4.499797
161,3194,4.499797
161,3481,4.1266494
161,441,4.1266494
161,1096,4.499797
161,3507,4.1266494
161,1262,4.6474085
161,899,4.650944
161,994,4.499797
161,3683,4.710616
161,293,4.2734237
161,2104,4.499797
161,3111,4.499797
161,1633,4.499797
161,306,4.499797
161,3911,4.1266494
161,3135,4.499797
161,2360,4.499797
161,363,4.449314
161,728,4.1266494
161,265,4.3751836
161,6,4.1968427
161,3860,4.3839808
161,2071,4.499797
161,1273,4.378274
161,1446,4.1266494
161,921,4.1266494
161,2330,4.449314
161,2349,4.0244484
161,2357,4.499797
161,950,4.5370507
161,952,3.81384
161,2501,4.499797
161,3330,4.499797
161,1913,4.45284
161,425,4.3751836
161,523,4.499797
161,602,4.449314
161,2972,4.6692543
265,914,4.282868
265,2858,4.060577
265,1220,3.776569
265,3755,3.174871
265,2396,3.9337478
265,3751,4.1871705
265,2109,3.5737662
265,2791,3.5737662
265,3359,4.145793
265,3363,4.060577
265,3545,4.2525277
265,1094,4.4012337
265,858,4.414564
265,900,4.282868
265,2941,3.911293
265,52,3.5737662
265,938,4.1494946
265,1083,4.0126247
265,804,3.9337478
265,3549,4.1494946
336,914,4.3227057
336,1917,4.4398417
336,32,4.0282764
336,480,4.4553847
336,2407,4.4212275
336,2529,4.329547
336,2640,4.4553847
